Kernel,Size,Processes,Type,Max Runtime,STD
gemver,10000,1,std,0.315275,0.0
gemver,10000,1,std,0.322816,0.0
gemver,10000,1,std,0.323628,0.0
gemver,10000,1,std,0.325795,0.0
gemver,10000,1,std,0.321699,0.0
gemver,10000,1,std,0.314659,0.0
gemver,10000,1,std,0.310924,0.0
gemver,10000,1,std,0.307267,0.0
gemver,10000,1,std,0.313128,0.0
gemver,10000,1,std,0.308676,0.0
gemver,10000,2,mpi,0.172636,0.00015650000000000386
gemver,10000,2,mpi,0.195926,0.0023854999999999987
gemver,10000,2,mpi,0.177705,0.0017685000000000062
gemver,10000,2,mpi,0.18915,0.0028719999999999996
gemver,10000,2,mpi,0.169443,0.00010150000000000436
gemver,10000,2,mpi,0.175105,0.00038849999999999996
gemver,10000,2,mpi,0.193303,0.0040655
gemver,10000,2,mpi,0.182434,0.0013120000000000076
gemver,10000,2,mpi,0.191871,0.004836000000000007
gemver,10000,2,mpi,0.189487,0.0021464999999999956
gemver,10000,16,mpi,0.091971,0.007758118429013169
gemver,10000,16,mpi,0.099316,0.007094735002098387
gemver,10000,16,mpi,0.093538,0.00838924314878136
gemver,10000,16,mpi,0.101252,0.007647688780768996
gemver,10000,16,mpi,0.104119,0.006899607348429329
gemver,10000,16,mpi,0.099193,0.006923630367433242
gemver,10000,16,mpi,0.605169,0.0065101453849813334
gemver,10000,16,mpi,0.316907,0.006773536676609565
gemver,10000,16,mpi,0.389936,0.006139978052434308
gemver,10000,16,mpi,0.265543,0.005251456083792374
gemver,10000,8,omp,0.059678,0.0006840729785629601
gemver,10000,32,mpi,0.098643,0.0019748131082459415
gemver,10000,32,mpi,0.398071,0.00272742201405896
gemver,10000,32,mpi,0.262214,0.003092570405012789
gemver,10000,32,mpi,0.101891,0.0026578041348707267
gemver,10000,32,mpi,0.17573,0.0020973901602646546
gemver,10000,32,mpi,0.41261,0.003517209377986157
gemver,10000,32,mpi,0.090825,0.0026928759537609135
gemver,10000,32,mpi,0.113785,0.0022680106162170917
gemver,10000,32,mpi,0.105215,0.0024066830779103437
gemver,10000,32,mpi,0.118308,0.002382664126528065
gemver,10000,48,omp,0.049233,0.0006165734668310004
gemver,10000,16,omp,0.046043,0.000869413388440734
gemver,10000,32,omp,0.03984,0.0004868581826363816
gemver,10000,2,omp,0.204294,0.00900786997297363
gemver,10000,4,mpi,0.111006,0.0014015849064541153
gemver,10000,4,mpi,0.094516,0.0014867579661801055
gemver,10000,4,mpi,0.103676,0.002759903927222829
gemver,10000,4,mpi,0.111274,0.0018896307013541015
gemver,10000,4,mpi,0.119842,0.0021547181950315455
gemver,10000,4,mpi,0.092045,0.00018466185312619398
gemver,10000,4,mpi,0.092482,0.0013290168123466322
gemver,10000,4,mpi,0.112445,0.0024420170325982603
gemver,10000,4,mpi,0.097895,0.0028485195277547226
gemver,10000,4,mpi,0.098966,0.000883457129689945
gemver,10000,4,omp,0.13779,0.007242061102338199
gemver,10000,48,mpi,0.324938,0.002109638419251661
gemver,10000,48,mpi,0.154089,0.0016237485303859578
gemver,10000,48,mpi,0.257044,0.004158560713347492
gemver,10000,48,mpi,0.302415,0.0021616934297848485
gemver,10000,48,mpi,0.156947,0.0018414688388281237
gemver,10000,48,mpi,0.148609,0.0031140361425683917
gemver,10000,48,mpi,0.137248,0.0032033844493840518
gemver,10000,48,mpi,0.361836,0.0037532801177006616
gemver,10000,48,mpi,0.264504,0.0015762294241266535
gemver,10000,48,mpi,0.224557,0.003206884122640179
gemver,10000,8,mpi,0.083147,0.004300342573563182
gemver,10000,8,mpi,0.093419,0.004823735700613687
gemver,10000,8,mpi,0.064888,0.0032091452498095164
gemver,10000,8,mpi,0.095674,0.0020918145195917793
gemver,10000,8,mpi,0.075741,0.002731295754765493
gemver,10000,8,mpi,0.082302,0.002894766819192869
gemver,10000,8,mpi,0.069873,0.0031704700928056394
gemver,10000,8,mpi,0.065498,0.003797562178556134
gemver,10000,8,mpi,0.070528,0.0015044539707149552
gemver,10000,8,mpi,0.069114,0.0035747266831710365
