gemver,10000,1,std,0.303363,0.0
gemver,10000,1,std,0.312757,0.0
gemver,10000,1,std,0.319525,0.0
gemver,10000,1,std,0.30305,0.0
gemver,10000,1,std,0.31267,0.0
gemver,10000,1,std,0.31822,0.0
gemver,10000,1,std,0.304244,0.0
gemver,10000,1,std,0.308797,0.0
gemver,10000,1,std,0.314795,0.0
gemver,10000,1,std,0.308861,0.0
gemver,25000,1,std,1.935098,0.0
gemver,25000,1,std,1.93719,0.0
gemver,25000,1,std,1.922343,0.0
gemver,25000,1,std,1.923253,0.0
gemver,25000,1,std,1.920901,0.0
gemver,25000,1,std,1.924365,0.0
gemver,25000,1,std,1.914976,0.0
gemver,25000,1,std,1.925475,0.0
gemver,25000,1,std,1.924733,0.0
gemver,25000,1,std,1.936045,0.0
gemver,40000,1,std,9.927629,0.0
gemver,40000,1,std,12.510799,0.0
gemver,40000,1,std,10.613955,0.0
gemver,40000,1,std,11.356885,0.0
gemver,40000,1,std,10.434753,0.0
gemver,40000,1,std,10.714822,0.0
gemver,40000,1,std,11.680155,0.0
gemver,40000,1,std,11.541474,0.0
gemver,40000,1,std,12.121818,0.0
gemver,40000,1,std,10.675673,0.0
