gemver	10000	1	std	0.608793	0
gemver	10000	1	std	0.592988	0
gemver	10000	1	std	0.599134	0
gemver	10000	1	std	0.591591	0
gemver	10000	1	std	0.601713	0
gemver	10000	1	std	0.590408	0
gemver	10000	1	std	0.614518	0
gemver	10000	1	std	0.615468	0
gemver	10000	1	std	0.602911	0
gemver	10000	1	std	0.60097	0
gemver	25000	1	std	3.806656	0
gemver	25000	1	std	3.713203	0
gemver	25000	1	std	3.826203	0
gemver	25000	1	std	3.922168	0
gemver	25000	1	std	3.810891	0
gemver	25000	1	std	3.796602	0
gemver	25000	1	std	3.818084	0
gemver	25000	1	std	3.896589	0
gemver	25000	1	std	3.788828	0
gemver	25000	1	std	3.690685	0
gemver	40000	1	std	11.240922	0
gemver	40000	1	std	11.216773	0
gemver	40000	1	std	11.052306	0
gemver	40000	1	std	11.088931	0
gemver	40000	1	std	11.13616	0
gemver	40000	1	std	11.653328	0
gemver	40000	1	std	12.727058	0
gemver	40000	1	std	11.10284	0
gemver	40000	1	std	11.329583	0
gemver	40000	1	std	11.601335	0
