Kernel,Size,Processes,Type,Max Runtime,STD
gemver,25000,2,mpi,0.941208,0.00381050000000005
gemver,25000,2,mpi,0.936578,0.0009450000000000292
gemver,25000,2,mpi,0.955603,0.0013475000000000015
gemver,25000,2,mpi,0.928664,0.001937000000000022
gemver,25000,2,mpi,0.944541,0.007297999999999971
gemver,25000,2,mpi,0.936052,0.004755000000000009
gemver,25000,2,mpi,0.934805,0.0016860000000000208
gemver,25000,2,mpi,0.960766,0.0073104999999999976
gemver,25000,2,mpi,0.940494,0.0014550000000000396
gemver,25000,2,mpi,0.922506,0.0017415000000000067
gemver,25000,2,omp,1.331001,0.011234067498462001
gemver,25000,6,omp,0.445515,0.015675049641069725
gemver,25000,6,mpi,0.530205,0.034162148687058136
gemver,25000,6,mpi,0.530791,0.036047150177079046
gemver,25000,6,mpi,0.503547,0.03148654427644007
gemver,25000,6,mpi,0.540851,0.04243766118837003
gemver,25000,6,mpi,0.454551,0.027642222127370452
gemver,25000,6,mpi,0.460311,0.03646283122768842
gemver,25000,6,mpi,0.478127,0.038223149633290154
gemver,25000,6,mpi,0.485599,0.041255708651450076
gemver,25000,6,mpi,0.462948,0.03801945609231617
gemver,25000,6,mpi,0.560269,0.03765928420279212
gemver,25000,10,omp,0.408169,0.033569540450235545
gemver,25000,10,mpi,0.436555,0.03349176565426195
gemver,25000,10,mpi,0.425525,0.03288194352589275
gemver,25000,10,mpi,0.531564,0.049295730670008336
gemver,25000,10,mpi,0.422481,0.026846367273804475
gemver,25000,10,mpi,0.425364,0.029311446737409607
gemver,25000,10,mpi,0.433203,0.032678159278178444
gemver,25000,10,mpi,0.423394,0.027665137819284397
gemver,25000,10,mpi,0.431215,0.032179174784322855
gemver,25000,10,mpi,0.413932,0.031248276417908245
gemver,25000,10,mpi,0.424468,0.03241655702507594
gemver,25000,8,omp,0.504013,0.01496646382950896
gemver,25000,4,mpi,0.539815,0.01015799651444615
gemver,25000,4,mpi,0.548645,0.003058736013453934
gemver,25000,4,mpi,0.671168,0.006252437139827936
gemver,25000,4,mpi,0.686128,0.01089529125356453
gemver,25000,4,mpi,0.670145,0.0029538444441100935
gemver,25000,4,mpi,0.683769,0.006541118157471235
gemver,25000,4,mpi,0.696355,0.04061255110492321
gemver,25000,4,mpi,0.636311,0.025786221829690346
gemver,25000,4,mpi,0.565437,0.018076705189276038
gemver,25000,4,mpi,0.690308,0.045876844542617555
gemver,25000,1,std,1.915035,0.0
gemver,25000,1,std,1.922469,0.0
gemver,25000,1,std,1.880939,0.0
gemver,25000,1,std,1.889028,0.0
gemver,25000,1,std,1.892862,0.0
gemver,25000,1,std,1.896342,0.0
gemver,25000,1,std,1.889572,0.0
gemver,25000,1,std,1.889772,0.0
gemver,25000,1,std,1.896079,0.0
gemver,25000,1,std,1.904839,0.0
gemver,25000,4,omp,0.625815,0.029541698546292145
gemver,25000,12,omp,0.338278,0.008530191996080754
gemver,25000,12,mpi,0.395414,0.015014909326279292
gemver,25000,12,mpi,0.43114,0.017069183024939687
gemver,25000,12,mpi,0.354929,0.018942382481525095
gemver,25000,12,mpi,0.442691,0.019805068620319284
gemver,25000,12,mpi,0.452016,0.02702846524294135
gemver,25000,12,mpi,0.422159,0.016619816370450673
gemver,25000,12,mpi,0.423663,0.016474657527210966
gemver,25000,12,mpi,0.42805,0.017087093810501795
gemver,25000,12,mpi,0.45303,0.02013491166619698
gemver,25000,12,mpi,0.428472,0.022040078221749426
gemver,25000,8,mpi,0.367197,0.010889984455337858
gemver,25000,8,mpi,0.490354,0.018119066466277315
gemver,25000,8,mpi,0.476513,0.013807789214221631
gemver,25000,8,mpi,0.499014,0.022192528324584838
gemver,25000,8,mpi,0.523012,0.02919299935959604
gemver,25000,8,mpi,0.486931,0.017432260833007283
gemver,25000,8,mpi,0.502612,0.019800927339000435
gemver,25000,8,mpi,0.47928,0.017421630018456938
gemver,25000,8,mpi,0.471876,0.022122799732049635
gemver,25000,8,mpi,0.557114,0.06431317023739674
