Kernel,Size,Processes,Type,Max Runtime,STD
gemver,40000,32,omp,1.374296,0.046922254766368576
gemver,40000,8,mpi,1.101292,0.02078516619754037
gemver,40000,8,mpi,0.98412,0.03315453467829664
gemver,40000,8,mpi,0.995279,0.029520879359997042
gemver,40000,8,mpi,0.816852,0.029586653553323246
gemver,40000,8,mpi,1.042035,0.01769655114660411
gemver,40000,8,mpi,1.043546,0.030893620704513985
gemver,40000,8,mpi,0.810747,0.011964786291447059
gemver,40000,8,mpi,1.005677,0.037323065914391315
gemver,40000,8,mpi,1.100441,0.026949523858270683
gemver,40000,8,mpi,1.042724,0.02391692577313187
gemver,40000,1,std,9.927629,0.0
gemver,40000,1,std,12.510799,0.0
gemver,40000,1,std,10.613955,0.0
gemver,40000,1,std,11.356885,0.0
gemver,40000,1,std,10.434753,0.0
gemver,40000,1,std,10.714822,0.0
gemver,40000,1,std,11.680155,0.0
gemver,40000,1,std,11.541474,0.0
gemver,40000,1,std,12.121818,0.0
gemver,40000,1,std,10.675673,0.0
gemver,40000,2,mpi,2.908389,0.0038925000000000765
gemver,40000,2,mpi,2.918603,0.007592500000000113
gemver,40000,2,mpi,2.929282,0.0015655000000001087
gemver,40000,2,mpi,5.143872,0.3552504999999999
gemver,40000,2,mpi,6.217913,0.5676390000000002
gemver,40000,2,mpi,4.622361,0.26440899999999967
gemver,40000,2,mpi,4.426572,0.18756550000000027
gemver,40000,2,mpi,4.080026,0.11770300000000011
gemver,40000,2,mpi,3.28824,0.07474950000000002
gemver,40000,2,mpi,3.545613,0.0036810000000000453
gemver,40000,32,mpi,0.652321,0.0612833976266972
gemver,40000,32,mpi,0.653267,0.0555273524342677
gemver,40000,32,mpi,0.648512,0.05376742003207215
gemver,40000,32,mpi,0.647241,0.050002026558686456
gemver,40000,32,mpi,0.648803,0.05207312752600754
gemver,40000,32,mpi,0.645517,0.058664580908241816
gemver,40000,32,mpi,0.652471,0.0535719110358243
gemver,40000,32,mpi,0.708791,0.0872077368524198
gemver,40000,32,mpi,0.650506,0.04883166906318167
gemver,40000,32,mpi,0.657073,0.04589425393013499
gemver,40000,16,omp,1.034084,0.022811665670003124
gemver,40000,16,mpi,0.728752,0.07045421473394863
gemver,40000,16,mpi,0.833452,0.09040063541809921
gemver,40000,16,mpi,0.79091,0.09549188304802976
gemver,40000,16,mpi,0.924837,0.08272289899433737
gemver,40000,16,mpi,0.891625,0.08501216540920775
gemver,40000,16,mpi,0.763086,0.08790676068843838
gemver,40000,16,mpi,0.7139,0.08329363917976326
gemver,40000,16,mpi,0.789806,0.08688408199065795
gemver,40000,16,mpi,0.734669,0.07941192890466378
gemver,40000,16,mpi,0.763953,0.08980053169731846
gemver,40000,4,omp,3.882211,0.4383679942277378
gemver,40000,4,mpi,3.191994,0.30911280395866425
gemver,40000,4,mpi,3.206636,0.3090888627583499
gemver,40000,4,mpi,3.69228,0.5499282586142487
gemver,40000,4,mpi,3.168627,0.2975053300475262
gemver,40000,4,mpi,3.078699,0.3743002639392603
gemver,40000,4,mpi,3.092726,0.37434926042158473
gemver,40000,4,mpi,3.131103,0.374997085300256
gemver,40000,4,mpi,3.106108,0.37027204178448314
gemver,40000,4,mpi,3.14251,0.39873264663462166
gemver,40000,4,mpi,3.083383,0.3665403066665213
gemver,40000,2,omp,6.659395,0.5361015496600994
gemver,40000,48,mpi,0.535291,0.018302331751479987
gemver,40000,48,mpi,0.551957,0.019207009675549426
gemver,40000,48,mpi,0.650916,0.018688819141289625
gemver,40000,48,mpi,0.561656,0.01767210264835198
gemver,40000,48,mpi,0.478024,0.019695435553584474
gemver,40000,48,mpi,0.483264,0.01793714963042204
gemver,40000,48,mpi,0.476545,0.01648306881902482
gemver,40000,48,mpi,0.535984,0.02161869237873172
gemver,40000,48,mpi,0.628707,0.017425322979717835
gemver,40000,48,mpi,0.646137,0.020534794400635933
gemver,40000,48,omp,2.529849,0.4593728376259202
gemver,40000,8,omp,2.436636,0.22319169001779612
